edge_id,from_node,to_node,from_x,from_y,to_x,to_y,shape
314142213,cluster_3201880742_9316831472,cluster_3201880732_9326457137,8667.1,5603.98,8770.08,5585.05,"8667.10,5603.98 8770.08,5585.05"
314142214#0,3201880741,12082208340,6521.22,4165.13,6506.74,4166.0,"6521.22,4165.13 6506.74,4166.00"
314142214#1,12082208340,3201880851,6492.36,4166.86,6438.0,4170.11,"6492.36,4166.86 6438.00,4170.11"
314142215#0,2346766136,3201880747,6062.36,5696.19,6056.48,5671.76,"6062.36,5696.19 6056.48,5671.76"
314142215#1,3201880747,3201880798,6053.11,5657.75,6036.63,5589.37,"6053.11,5657.75 6036.63,5589.37"
314142216,3201880758,3201880986,6886.81,4330.27,6894.62,4330.92,"6886.81,4330.27 6891.45,4330.63 6894.62,4330.92"
314142220#1,cluster_3201880836_7156023731,9316831473,8583.39,5678.24,8576.61,5640.37,"8583.39,5678.24 8576.61,5640.37"
314142220#2,9316831473,cluster_12086567771_3201880957,8574.08,5626.19,8570.77,5607.73,"8574.08,5626.19 8570.77,5607.73"
314142221#0,3201880854,3201880841,6577.97,4164.09,6733.97,4193.81,"6577.97,4164.09 6679.37,4176.35 6733.97,4193.81"
314142221#1,3201880841,3906194979,6739.23,4195.24,6750.83,4197.78,"6739.23,4195.24 6750.83,4197.78"
314142221#2,3906194979,3201880856,6755.79,4199.11,6760.81,4200.67,"6755.79,4199.11 6760.81,4200.67"
314142224#1,3201880869,cluster_3201880742_9316831472,8654.54,5582.24,8656.91,5596.81,"8654.54,5582.24 8656.91,5596.81"
314142224#3,cluster_3201880742_9316831472,cluster_12086566185_9169431160,8661.81,5626.83,8668.34,5666.94,"8661.81,5626.83 8668.34,5666.94"
314142224#5,cluster_12086566185_9169431160,cluster_3201880883_7156023729,8671.72,5687.7,8675.32,5709.84,"8671.72,5687.70 8675.32,5709.84"
314142225,cluster_3201880849_3906202664,3201880962,6897.41,4217.24,6906.98,4191.14,"6897.41,4217.24 6900.21,4198.58 6887.09,4196.45 6906.32,4087.98 6922.77,4090.57 6906.98,4191.14"
314142226,3201880740,3201880782,6512.8,4085.97,6459.15,4088.48,"6512.80,4085.97 6459.15,4088.48"
314142230,2346766136,298599189,6062.55,5710.97,6077.16,5774.82,"6062.55,5710.97 6077.16,5774.82"
314143086#0,3201889094,3201889098,5879.06,5614.89,5896.39,5689.14,"5879.06,5614.89 5896.39,5689.14"
314143086#1,3201889098,3201889106,5899.68,5703.41,5923.68,5808.2,"5899.68,5703.41 5923.68,5808.20"
314143087#0,3201889110,3201889096,5845.71,5825.15,5821.94,5718.12,"5845.71,5825.15 5821.94,5718.12"
314143087#1,3201889096,3201889102,5818.77,5703.87,5798.87,5614.74,"5818.77,5703.87 5798.87,5614.74"
314143087#2,3201889102,3201889108,5803.52,5608.8,5833.91,5608.21,"5803.52,5608.80 5833.91,5608.21"
314143087#3,3201889108,3201889094,5848.42,5607.93,5872.27,5607.59,"5848.42,5607.93 5870.76,5607.49 5872.27,5607.59"
314143087#4,3201889094,3201889101,5886.93,5608.58,5923.43,5612.29,"5886.93,5608.58 5919.01,5610.75 5923.43,5612.29"
314143088,3201889102,3201889097,5789.0,5605.78,5752.77,5605.89,"5789.00,5605.78 5752.77,5605.89"
314143089#0,3201880809,3201889095,5696.81,5614.91,5718.75,5672.26,"5696.81,5614.91 5718.75,5672.26"
314143089#1,3201889095,3201889105,5726.75,5682.72,5757.06,5680.37,"5726.75,5682.72 5728.08,5683.49 5733.46,5683.42 5757.06,5680.37"
314143090,3201889095,cluster_312708120_3201889103,5715.33,5679.26,5679.93,5690.11,"5715.33,5679.26 5679.93,5690.11"
314143091#0,3201889111,3201889109,5890.71,5815.21,5863.84,5710.17,"5890.71,5815.21 5863.84,5710.17"
314143091#1,3201889109,3201889108,5860.57,5695.97,5843.69,5613.84,"5860.57,5695.97 5843.69,5613.84"
314406371#2,cluster_3204483805_3204484002_4940058501,3204482599,9101.79,3877.29,9217.01,3824.38,"9101.79,3877.29 9200.48,3831.98 9216.09,3824.80 9217.01,3824.38"
314406371#3,3204482599,3204483916,9225.55,3820.46,9394.7,3742.79,"9225.55,3820.46 9235.31,3815.98 9252.77,3807.96 9269.99,3800.06 9292.84,3789.56 9313.24,3780.19 9330.71,3772.18 9348.33,3764.08 9368.02,3755.05 9394.70,3742.79"
314406390#0,3204483959,3204482641,8994.75,3646.62,9187.73,3557.17,"8994.75,3646.62 9063.86,3611.20 9082.87,3609.79 9120.51,3593.69 9165.80,3574.33 9187.63,3557.24 9187.73,3557.17"
314406390#1,3204482641,3204482625,9195.36,3551.45,9224.37,3486.61,"9195.36,3551.45 9206.37,3543.18 9217.90,3530.87 9238.21,3516.67 9224.37,3486.61"
314406418,3204483913,3204482636,8883.85,3637.19,8909.28,3695.14,"8883.85,3637.19 8909.28,3695.14"
314406424,3204484000,4940066259,8889.42,3761.77,8882.44,3769.51,"8889.42,3761.77 8882.44,3769.51"
314406430#0,cluster_3204483805_3204484002_4940058501,3204483959,9093.01,3871.64,8991.94,3654.28,"9093.01,3871.64 8991.94,3654.28"
314406430#1,3204483959,3206224115,8985.86,3641.22,8980.98,3630.72,"8985.86,3641.22 8980.98,3630.72"
314406430#2,3206224115,3204483799,8977.07,3622.14,8968.07,3601.97,"8977.07,3622.14 8968.07,3601.97"
314406432,3204482622,3204483884,9114.01,3649.87,9131.54,3630.48,"9114.01,3649.87 9110.04,3640.81 9131.54,3630.48"
314406436#0,3204483892,3204484000,8924.2,3746.58,8896.67,3757.07,"8924.20,3746.58 8896.67,3757.07"
314406436#1,3204484000,cluster_3204482597_3206191371,8892.63,3755.39,8847.26,3653.67,"8892.63,3755.39 8847.26,3653.67"
314406441#0,3206224115,3204483890,8982.53,3626.62,9177.13,3537.37,"8982.53,3626.62 9024.62,3608.16 9177.13,3537.37"
314406441#1,3204483890,3204482641,9181.26,3538.84,9186.3,3549.26,"9181.26,3538.84 9186.30,3549.26"
314406449#0,11118906336,3204483884,9124.61,3607.25,9131.84,3623.4,"9124.61,3607.25 9131.84,3623.40"
